정류장명,위도,경도,관리부서,서비스아이디,권역
(구)세인고등학교,35.46724558,129.3256283,버스택시과,40117,울산광역시 울주군
(구)세인고등학교,35.46749904,129.3247411,버스택시과,40118,울산광역시 울주군
(주)SLT,35.56458241,129.1456345,버스택시과,30455,울산광역시 울주군
(주)TCT제2공장,35.46128879,129.333938,버스택시과,40121,울산광역시 울주군
(주)TCT제2공장,35.46103197,129.3341578,버스택시과,40122,울산광역시 울주군
(주)동영코엘스,35.56120824,129.1446301,버스택시과,30453,울산광역시 울주군
(주)로파,35.55697115,129.1511169,버스택시과,30451,울산광역시 울주군
(주)일성,35.42262518,129.3380171,버스택시과,15880,울산광역시 울주군
(주)일성,35.42247289,129.3382505,버스택시과,15879,울산광역시 울주군
(주)탑아이엔디,35.56064753,129.1535549,버스택시과,30457,울산광역시 울주군
(주)티씨티,35.41088471,129.3416182,버스택시과,15886,울산광역시 울주군
(주)티씨티,35.4110373,129.3417415,버스택시과,15885,울산광역시 울주군
23-6번지,35.50958869,129.0825252,버스택시과,66419,울산광역시 울주군
E편한세상,35.55873925,129.3032133,버스택시과,63112,울산광역시 중구
E편한세상,35.55896637,129.3040535,버스택시과,63110,울산광역시 중구
FCC삼거리,35.4904568,129.3576973,버스택시과,23543,울산광역시 남구
FCC삼거리,35.49049936,129.3575246,버스택시과,23544,울산광역시 남구
"GS마트,부산카톨릭대",35.24056975,129.0929175,버스운영과,57178,부산광역시
GS물류센터,35.3296283,129.0450952,교통과,59166,양산시
GS물류센터,35.32976155,129.0453744,교통과,59167,양산시
G마트,35.57749876,129.3110363,버스택시과,72102,울산광역시 중구
G마트,35.57748997,129.310879,버스택시과,72103,울산광역시 중구
KBS방송국앞,35.54373298,129.3250739,버스택시과,40523,울산광역시 남구
KBS방송국앞/울산병원,35.54475218,129.3251689,버스택시과,40524,울산광역시 남구
KCC산업단지입구,35.70345142,129.1952932,버스택시과,30363,울산광역시 울주군
KCC스위첸,35.58119489,129.3399541,버스택시과,11411,울산광역시 중구
