direction,stop_sequence,stop_id,stop_name
순환/운행,1,19014,꽃바위
순환/운행,2,25001,화암
순환/운행,3,25003,현대비치타운
순환/운행,4,25005,우성현대아파트
순환/운행,5,25011,해피랜드아파트앞
순환/운행,6,25007,방어동 행정복지센터
순환/운행,7,25009,방어진초등학교
순환/운행,8,24236,대왕암공원입구
순환/운행,9,24234,일산해수욕장
순환/운행,10,24232,번덕마을
순환/운행,11,24230,현대중공업일산문
순환/운행,12,24228,동부경찰서
순환/운행,13,24226,동울산우체국
순환/운행,14,24224,전하시장앞
순환/운행,15,24222,전하1동행정복지센터
순환/운행,16,24220,현대중공업 울산대학병원
순환/운행,17,24218,남목2동
순환/운행,18,24216,서부패밀리 아파트
순환/운행,19,24214,현대중공업미포문앞
순환/운행,20,24212,현대청운고앞
순환/운행,21,24210,남목1동
순환/운행,22,24208,남목1동행정복지센터
순환/운행,23,24206,남목고등학교.비석골
순환/운행,24,24258,동구노인요양원
순환/운행,25,24204,정수장
순환/운행,26,30634,성내
순환/운행,27,30632,염포동
순환/운행,28,30630,성원상떼빌앞
순환/운행,29,30628,신전
순환/운행,30,30626,현대자동차4공장앞
순환/운행,31,30624,현대자동차 정문
순환/운행,32,30622,양정힐스테이트앞
순환/운행,33,30620,현대자동차2공장
순환/운행,34,30618,아랫율동
순환/운행,35,30616,현대출고 사무소앞
순환/운행,36,30614,효정고등학교입구
순환/운행,37,30612,합동공업사
순환/운행,38,40337,효문사거리
순환/운행,39,40339,현대자동차명촌정문앞
순환/운행,40,40341,평창리비에르아파트앞
순환/운행,41,12314,태화강역(2번 정류소)
순환/운행,42,40428,"이마트앞,울산통계청"
순환/운행,43,40422,농수산물도매시장앞
순환/운행,44,40420,"시외고속버스터미널/서울삼성정형외과의원"
순환/운행,45,40418,현대백화점사거리
순환/운행,46,40416,좋은의사들안과병원
순환/운행,47,40414,번영사거리
순환/운행,48,40412,하나이비인후과병원
순환/운행,49,40410,강남초등학교
순환/운행,50,40408,롯데마트
순환/운행,51,40404,공업탑
순환/운행,52,40614,"신정고등학교/학성고등학교"
순환/운행,53,40610,옥동초등학교
순환/운행,54,40608,"옥동행정복지센터,울산대공원정문"
순환/운행,55,40606,법원
순환/운행,56,40603,옥동중학교앞
순환/운행,57,40602,공원묘지입구
순환/운행,58,40620,보건환경연구원
순환/운행,59,22404,성광여고앞
순환/운행,60,22402,옥현주공아파트앞
순환/운행,61,30703,신복교차로
순환/운행,62,30705,울산대학교후문
순환/운행,63,30707,울산대학교앞
순환/운행,64,30711,울산과학대학앞
순환/운행,65,30713,문수경기장입구
순환/운행,66,30597,문수실버복지관
순환/운행,67,30503,율리공영차고지종점
